country,cluster,av_gdp,gdp,gdpt,cum_gdp
United States,7,75930.74033140216,65118.3583328163,21374418877706.7,0.9096901193662444
Switzerland,7,75930.74033140216,81993.7271494202,703082435360.1171,0.029923019110200823
Norway,7,75930.74033140216,75419.63486880889,403336363636.364,0.017165898492042538
Ireland,7,75930.74033140216,78660.9564629603,388698711348.156,0.016542923536162466
Denmark,7,75930.74033140216,59822.0929608968,348078018463.905,0.014814116630578958
Qatar,7,75930.74033140216,64781.73319741691,183466208791.20898,0.007808277657972705
Luxembourg,7,75930.74033140216,114704.59417086301,71104919108.1411,0.0030262082314891003
Iceland,7,75930.74033140216,66944.8255080349,24188035738.7846,0.0010294369753088117
Germany,8,41711.32158346211,46258.87828970519,3845630030823.52,0.21041390967020224
United Kingdom,8,41711.32158346211,42300.267125825,2827113184695.58,0.15468569090214504
France,8,41711.32158346211,40493.9285720456,2715518274227.45,0.14857976775751353
Italy,8,41711.32158346211,33189.5657988542,2001244392041.57,0.10949822353162239
Canada,8,41711.32158346211,46194.7252255167,1736425629519.96,0.0950086468615899
Spain,8,41711.32158346211,29613.6711379783,1394116310768.63,0.07627916911731851
Netherlands,8,41711.32158346211,52447.831439191104,909070395160.783,0.04973984873169255
Sweden,8,41711.32158346211,51610.066055220195,530832908737.86206,0.029044558840523833
Belgium,8,41711.32158346211,46116.69923368,529606710418.03796,0.02897746731574448
Austria,8,41711.32158346211,50277.2750874213,446314739528.47,0.02442014144234068
United Arab Emirates,8,41711.32158346211,43103.3230583165,421142267937.65,0.02304282794077322
Israel,8,41711.32158346211,43641.3977358108,395098666121.616,0.021617850489462808
Finland,8,41711.32158346211,48685.8539866945,268761201364.705,0.01470528748047507
Portugal,8,41711.32158346211,23145.0408172828,237686075634.698,0.013005009854719257
Malta,8,41711.32158346211,29416.230607008398,14786156563.3046,0.0008090255657834026
Andorra,8,41711.32158346211,40886.3911648431,3154057987.23833,0.0001725744980931583
Japan,0,20255.478879314458,40246.8801284164,5081769542379.77,0.4796408399502706
South Korea,0,20255.478879314458,31761.977692344703,1642383217167.26,0.15501570058083167
Australia,0,20255.478879314458,54907.1019101424,1392680589329.14,0.1314476152603039
Indonesia,0,20255.478879314458,4135.569262815539,1119190780752.8,0.10563438614602871
Singapore,0,20255.478879314458,65233.28243923019,372062527488.63794,0.035116976814950296
Hong Kong,0,20255.478879314458,48755.8350791287,366029556273.051,0.03454755717537238
Malaysia,0,20255.478879314458,11414.837661866799,364701517787.844,0.0344222107799448
New Zealand,0,20255.478879314458,42084.3533748088,206928765543.935,0.019530890979539892
Papua New Guinea,0,20255.478879314458,2845.1801857484197,24969611434.7684,0.0023567470547268625
Brunei,0,20255.478879314458,31086.751079293903,13469422941.3919,0.0012713062407448802
Fiji,0,20255.478879314458,6220.04642089247,5535548972.41252,0.0005224706347998692
Timor-Leste,0,20255.478879314458,1294.18893388776,1673540300.0,0.0001579564497147047
Solomon Islands,0,20255.478879314458,2127.53850760272,1425074225.77798,0.00013450507602584845
Vanuatu,0,20255.478879314458,3058.0656752208,917058850.8165631,8.65562426279375e-05
Samoa,0,20255.478879314458,4315.92067469565,850655017.220488,8.028874264464934e-05
Kiribati,0,20255.478879314458,1655.07883905984,194647201.946472,1.837170038054409e-05
Nauru,0,20255.478879314458,9396.98196681072,118223430.12444599,1.1158472428510958e-05
Tuvalu,0,20255.478879314458,4059.0299956944395,47271463.3298575,4.461698663846423e-06
Mauritius,4,13131.920778413967,11203.5405848607,14180444557.2047,0.6562427226303035
Maldives,4,13131.920778413967,10790.50023682,5729248472.24028,0.26513820500346913
Seychelles,4,13131.920778413967,17401.721513561202,1698843062.76141,0.07861907236622737
Saudi Arabia,6,12639.404172496432,23139.798656121402,792966838161.659,0.1593329123874406
Turkey,6,12639.404172496432,9042.492982888822,754411708202.616,0.15158592872026458
Poland,6,12639.404172496432,15595.227033425901,592164400687.607,0.11898515049186047
Egypt,6,12639.404172496432,3020.03134971543,303175127597.521,0.06091777577424875
Romania,6,12639.404172496432,12919.529644190801,250077444017.08398,0.05024871855930748
Czech Republic,6,12639.404172496432,23101.7777049854,246489245494.882,0.04952773239285924
Iraq,6,12639.404172496432,5955.109010368161,234094042938.917,0.04703713174245534
Greece,6,12639.404172496432,19582.5360108329,209852761468.68103,0.04216626729923259
Kazakhstan,6,12639.404172496432,9731.14520688729,180161741180.147,0.03620037250179811
Hungary,6,12639.404172496432,16475.7418389402,160967157503.612,0.03234355431966972
Ukraine,6,12639.404172496432,3659.0313122948705,153781069118.148,0.030899634680124695
Kuwait,6,12639.404172496432,32031.980102598798,134761198945.982,0.027077922141946133
Slovakia,6,12639.404172496432,19329.0968007902,105422304975.57599,0.021182781011746553
Oman,6,12639.404172496432,15474.032475363501,76983094928.4785,0.0154684157385314
Bulgaria,6,12639.404172496432,9737.60135083347,67927179736.6915,0.01364878688092849
Belarus,6,12639.404172496432,6663.29529282582,63080457022.6599,0.012674922138549968
Croatia,6,12639.404172496432,14853.239837463501,60415553038.8826,0.012139455972080134
Lithuania,6,12639.404172496432,19455.4541266341,54219315600.0854,0.010894429686672744
Slovenia,6,12639.404172496432,25739.2478143246,53742159516.9278,0.010798553459907526
Lebanon,6,12639.404172496432,7784.3168569297595,53367042272.1725,0.010723180165316573
Libya,6,12639.404172496432,7683.750611229591,52076250947.5792,0.010463818069533743
Serbia,6,12639.404172496432,7402.354558620409,51409167350.7548,0.01032977920791586
Azerbaijan,6,12639.404172496432,4793.58701966989,48047647058.8235,0.009654340094466198
Jordan,6,12639.404172496432,4330.3293459325705,43743661971.831,0.00878952905095214
Bahrain,6,12639.404172496432,23503.977126673,38574069148.9362,0.007750789168413551
Latvia,6,12639.404172496432,17836.364886595802,34117202555.0666,0.006855259241626416
Estonia,6,12639.404172496432,23659.8722900339,31386949981.236,0.006306662411082728
Cyprus,6,12639.404172496432,27858.3709958327,24564647934.6244,0.004935839317403977
Bosnia and Herzegovina,6,12639.404172496432,6073.26520283208,20047848434.5487,0.004028266914142291
Georgia,6,12639.404172496432,4769.18654326351,17743195770.1998,0.00356518699278835
Albania,6,12639.404172496432,5352.85741103671,15278077446.8643,0.0030698642845307616
Armenia,6,12639.404172496432,4622.733493286711,13672802157.8324,0.0027473120986436393
Macedonia,6,12639.404172496432,6093.14769049676,12694823394.0947,0.002550804253447181
Moldova,6,12639.404172496432,4498.52085021233,11955435456.7957,0.0024022370905288563
Kosovo,6,12639.404172496432,4417.50993975428,7926108374.38424,0.0015926138022579741
Montenegro,6,12639.404172496432,8832.03683598629,5494736901.03,0.0011040719373252865
Mexico,3,10910.427406923656,9863.0726988757,1258286717124.53,0.5621948050002391
Colombia,3,10910.427406923656,6432.38758339551,323802808108.24603,0.14467311311920103
Ecuador,3,10910.427406923656,6183.823824821729,107435665000.0,0.04800159765873804
Puerto Rico,3,10910.427406923656,32873.7192730424,104988600000.0,0.04690826399179625
Dominican Republic,3,10910.427406923656,8282.1162218645,88941298257.7215,0.039738427776408944
Guatemala,3,10910.427406923656,4619.98709708493,76710385879.6627,0.03427373097417984
Panama,3,10910.427406923656,15731.0160348471,66800800000.0,0.029846188645845196
Costa Rica,3,10910.427406923656,12238.374964398401,61773944173.6736,0.027600220224987905
El Salvador,3,10910.427406923656,4187.2500311069,27022640000.0,0.012073550184260701
Honduras,3,10910.427406923656,2574.91219067443,25095395475.0393,0.011212469124473252
Trinidad and Tobago,3,10910.427406923656,17276.4654468225,24100202833.7504,0.010767823142525949
Jamaica,3,10910.427406923656,5582.263777552111,16458071067.8176,0.007353365436294341
Bahamas,3,10910.427406923656,32933.4860147581,12827000000.0,0.005731025103894808
Nicaragua,3,10910.427406923656,1912.9037453786898,12520915291.1837,0.005594268329111574
Haiti,3,10910.427406923656,754.58791774842,8498981820.87012,0.003797293067198275
Barbados,3,10910.427406923656,18148.2449264001,5209000000.0,0.002327349323005228
Guyana,3,10910.427406923656,5468.35662903592,4280443645.0839295,0.001912476026021907
Suriname,3,10910.427406923656,6854.906561484089,3985250737.4631295,0.0017805856413593587
Saint Lucia,3,10910.427406923656,11611.4154473966,2122450629.62963,0.000948297952770309
Belize,3,10910.427406923656,4815.1637107951,1879613600.0,0.0008397998539972009
Antigua and Barbuda,3,10910.427406923656,17790.309306815,1727759259.25926,0.0007719522638420143
Grenada,3,10910.427406923656,10965.5131592044,1228170370.37037,0.0005487390055704666
Saint Kitts and Nevis,3,10910.427406923656,19896.4957043824,1050992592.5925901,0.0004695770587164281
Saint Vincent and the Grenadines,3,10910.427406923656,7463.5378309342295,825385185.185185,0.0003687770497138193
Dominica,3,10910.427406923656,8300.37507427213,596033333.333333,0.0002663040458479328
Brazil,1,9393.497108458,8717.18627810819,1839758040765.62,0.6271173623560222
Argentina,1,9393.497108458,10006.1489736082,449663446954.073,0.15327654428100979
Chile,1,9393.497108458,14896.453866578899,282318159744.65,0.09623364364293939
Peru,1,9393.497108458,6977.695783553821,226848050819.525,0.077325576588508
Uruguay,1,9393.497108458,16190.1269572827,56045912952.342,0.01910434107241693
Bolivia,1,9393.497108458,3552.0687621415996,40895322865.4124,0.01393996734341361
Paraguay,1,9393.497108458,5414.79913793258,38145288939.8488,0.013002564715690168
China,9,3350.675274284965,10261.679128374399,14342902842915.9,0.682198578225969
India,9,3350.675274284965,2104.1459000333302,2875142314811.85,0.13675181522481894
Russia,9,3350.675274284965,11584.995382610401,1699876578871.35,0.08085207004232225
Thailand,9,3350.675274284965,7808.192916299491,543649976165.63,0.025857892565726653
Philippines,9,3350.675274284965,3485.0842183662103,376795508679.676,0.017921711045415394
Bangladesh,9,3350.675274284965,1855.7398240804603,302571254131.135,0.014391346134109691
Pakistan,9,3350.675274284965,1284.70204090039,278221906022.841,0.013233206053114042
Vietnam,9,3350.675274284965,2715.27603640721,261921244843.172,0.012457889647313673
Sri Lanka,9,3350.675274284965,3853.08369288942,84008783756.068,0.003995751310913241
Myanmar,9,3350.675274284965,1407.81314341043,76085852617.1371,0.0036189090205096287
Uzbekistan,9,3350.675274284965,1724.8411344137,57921286440.3495,0.0027549387799236046
Nepal,9,3350.675274284965,1071.0507605655198,30641380604.2984,0.0014574111330230197
Cambodia,9,3350.675274284965,1643.12138876475,27089389786.9684,0.0012884660378778589
Afghanistan,9,3350.675274284965,502.115486913067,19101353832.7371,0.0009085271349600272
Laos,9,3350.675274284965,2534.89827724281,18173839128.2699,0.0008644112945613926
Mongolia,9,3350.675274284965,4295.23502487944,13852850259.4854,0.0006588899649463796
Kyrgyzstan,9,3350.675274284965,1309.3929916551199,8454619607.81795,0.0004021312518855654
Tajikistan,9,3350.675274284965,870.787589323223,8116626794.25837,0.00038605513260997357
Nigeria,5,2085.150603201694,2229.85869624463,448120428858.769,0.43035182731017396
Algeria,5,2085.150603201694,3948.3432789257104,169988236398.126,0.16324796515407922
Morocco,5,2085.150603201694,3204.0950031329803,118725279596.13,0.11401765626313076
Ghana,5,2085.150603201694,2202.11556738065,66983634223.943,0.06432763947308288
Tunisia,5,2085.150603201694,3317.5410134834497,38797709923.6641,0.03725932647975995
Cameroon,5,2085.150603201694,1497.90917560296,38760467033.389,0.0372235603221558
Senegal,5,2085.150603201694,1446.8309649940802,23578084052.0147,0.022643180053403274
Mali,5,2085.150603201694,890.737285506382,17510141171.3403,0.016815839591906502
Gabon,5,2085.150603201694,7667.366861269141,16657960228.0892,0.015997448814541158
Burkina Faso,5,2085.150603201694,774.8396902346001,15745810234.6602,0.015121466843683836
Benin,5,2085.150603201694,1219.43267185875,14390709094.9386,0.013820097358801272
Guinea,5,2085.150603201694,1064.1312373665598,13590281808.6928,0.013051408133581044
Niger,5,2085.150603201694,554.6009686974251,12928145120.0296,0.012415526090396794
Chad,5,2085.150603201694,709.5403101385331,11314951342.7807,0.010866297701919854
Equatorial Guinea,5,2085.150603201694,8131.92388810912,11026774945.3415,0.010589547901556013
Mauritania,5,2085.150603201694,1677.9192526863299,7593752450.2055,0.0072926495482690794
Togo,5,2085.150603201694,675.542213340634,5459979416.66908,0.0052434835988698445
Sierra Leone,5,2085.150603201694,504.46254336647996,3941474310.7691298,0.0037851893435328957
Liberia,5,2085.150603201694,621.892953622715,3070518100.0,0.0029487677642574535
Gambia,5,2085.150603201694,751.2946883887421,1763819047.69838,0.0016938811563547737
Guinea-Bissau,5,2085.150603201694,697.784402885715,1340389410.76003,0.0012872410965436808
South Africa,2,1869.8246372204462,6001.40081394888,351431649241.43896,0.3712953817422293
Ethiopia,2,1869.8246372204462,857.501351042922,96107662398.1749,0.10153989054630637
Kenya,2,1869.8246372204462,1816.5469164389,95503088538.092,0.10090114476841362
Angola,2,1869.8246372204462,2973.5911597986797,94635415869.9851,0.09998442922720545
Tanzania,2,1869.8246372204462,1122.12181047515,63177068174.549,0.06674798270405194
Congo [DRC],2,1869.8246372204462,545.216212311342,47319624204.0938,0.04999423919468131
Uganda,2,1869.8246372204462,776.7685758853081,34387229486.4008,0.0363308755109849
Zambia,2,1869.8246372204462,1291.34335737364,23064722446.3513,0.02436839409308036
Zimbabwe,2,1869.8246372204462,1463.9859101805403,21440758800.0,0.022652640252158483
Sudan,2,1869.8246372204462,441.505603374484,18902284475.6054,0.019970685467057693
Botswana,2,1869.8246372204462,7961.3381401404795,18340510789.4272,0.019377159028239502
Mozambique,2,1869.8246372204462,491.80472306373497,14934159925.5234,0.015778273307243375
Madagascar,2,1869.8246372204462,522.21980923047,14083906356.618,0.014879961433153926
Namibia,2,1869.8246372204462,4957.4580058496995,12366527719.3322,0.013065512569190333
Congo [Republic],2,1869.8246372204462,2011.07239887663,10820591130.7349,0.011432196056430357
Rwanda,2,1869.8246372204462,801.6561869788071,10122472590.171999,0.01069461823559627
Malawi,2,1869.8246372204462,411.552340423602,7666704427.00915,0.00810004435592406
Djibouti,2,1869.8246372204462,3408.84625440838,3318716359.44182,0.0035062979109390774
Burundi,2,1869.8246372204462,261.247472515742,3012334881.6405697,0.0031825990408899255
Lesotho,2,1869.8246372204462,1157.5351643314698,2460072443.62842,0.002599121448060086
Central African Republic,2,1869.8246372204462,467.90744063633497,2220307368.69593,0.0023458042945889357
Comoros,2,1869.8246372204462,1393.52237156461,1185728676.65112,0.001252748813574908
